Timestamp,Name,Location,Price,CarID,CurrentEmploymentType,CurrentEmploymentTitle
458880,Vann_Edvard,Brew've Been Served,11.34,34,Security,Perimeter Control
459240,Cocinaro_Hideki,Hallowed Grounds,52.22,12,Security,Site Control
459300,Fusil_Stenig,Brew've Been Served,8.33,20,Security,Building Control
459360,Frente_Birgitta,Hallowed Grounds,16.72,18,Engineering,Geologist
459420,Flecha_Sven,Brew've Been Served,4.24,17,Information Technology,IT Technician
459480,Lais_Cornelia,Brew've Been Served,4.17,0,Unknown,Unknown
459720,Bergen_Linnea,Coffee Cameleon,28.73,6,Information Technology,IT Group Manager
459780,Bramar_Mat,Brew've Been Served,9.6,0,Unknown,Unknown
459780,Tempestad_Brand,Brew've Been Served,16.9,33,Engineering,Drill Technician
460020,Arpa_Emile,Hallowed Grounds,16.53,0,Unknown,Unknown
460080,Orilla_Kare,Hallowed Grounds,10.66,27,Engineering,Drill Technician
460140,Ovan_Bertrand,Coffee Cameleon,8.39,29,Facilities,Facilities Group Manager
460320,Osvaldo_Hennie,Brew've Been Served,32.83,21,Security,Perimeter Control
460440,Calixto_Nils,Hallowed Grounds,16.88,8,Information Technology,IT Technician
460440,Nubarron_Adra,Coffee Cameleon,11.86,25,Engineering,Geologist
460440,Pantanal_Rachel,Hallowed Grounds,32.93,0,Unknown,Unknown
460500,Alcazar_Lucas,Hallowed Grounds,8.05,1,Information Technology,IT Helpdesk
460500,Lagos_Varja,Brew've Been Served,3.67,23,Security,Badging Office
460740,Ferro_Inga,Brew've Been Served,8.88,13,Security,Site Control
460800,Mies Haber_Ruscella,Brew've Been Served,4.27,0,Unknown,Unknown
460800,Ribera_Anda,Hallowed Grounds,9.69,0,Unknown,Unknown
460860,Dedos_Lidelse,Hallowed Grounds,10.07,14,Engineering,Engineering Group Manager
461160,Bodrogi_Loreto,Brew've Been Served,18.24,15,Security,Site Control
461160,Mies_Minke,Brew've Been Served,15.58,24,Security,Perimeter Control
461220,Resumir_Felix,Brew've Been Served,5.66,30,Security,Security Group Manager
461640,Forluniau_Carla,Coffee Cameleon,3.2,0,Unknown,Unknown
461760,Herrero_Kanon,Brew've Been Served,14.97,22,Security,Badging Office
461760,Lagos_Linda,Brew've Been Served,11.2,0,Unknown,Unknown
461820,Coginian_Dante,Brew've Been Served,15.39,0,Unknown,Unknown
462180,Hafon_Albina,Abila Airport,4540.08,0,Facilities,Truck Driver
464760,Hafon_Albina,Kronos Pipe and Irrigation,242.21,0,Facilities,Truck Driver
468120,Morluniau_Cecilia,Nationwide Refinery,761.64,0,Facilities,Truck Driver
469080,Hafon_Albina,Maximum Iron and Steel,2859.51,0,Facilities,Truck Driver
473580,Morluniau_Cecilia,Stewart and Sons Fabrication,2144.62,0,Facilities,Truck Driver
475020,Hafon_Albina,Carlyle Chemical Inc.,3959.66,0,Facilities,Truck Driver
475200,Awelon_Varro,Coffee Shack,51.51,0,Unknown,Unknown
475200,Azada_Lars,Bean There Done That,10.28,2,Engineering,Engineer
475200,Balas_Felix,Bean There Done That,16.09,3,Engineering,Engineer
475200,Barranco_Ingrid,Brewed Awakenings,5.72,4,Executive,SVP/CFO
475200,Baza_Isak,Jack's Magical Beans,11.03,5,Information Technology,IT Technician
475200,Borrasca_Isande,Brewed Awakenings,16.89,7,Engineering,Drill Technician
475200,Calzas_Axel,Bean There Done That,8.54,9,Engineering,Drill Technician
475200,Campo-Corrente_Ada,Brewed Awakenings,4.35,10,Executive,SVP/CIO
475200,Cazar_Gustav,Bean There Done That,5.24,11,Engineering,Hydraulic Technician
475200,Frente_Vira,Bean There Done That,4.27,19,Engineering,Hydraulic Technician
475200,Orilla_Elsa,Jack's Magical Beans,18.59,28,Engineering,Drill Technician
475200,Strum_Orhan,Jack's Magical Beans,27.84,32,Executive,SVP/COO
475200,Vasco-Pais_Willem,Jack's Magical Beans,18.1,35,Executive,Environmental Safety Advisor
476160,Mies_Henk,Abila Airport,1873.79,0,Facilities,Truck Driver
478560,Campo-Corrente_Ada,KaterinaÂs CafÃ©,13.68,10,Executive,SVP/CIO
478620,Strum_Orhan,Hippokampos,9.16,32,Executive,SVP/COO
479880,Forluniau_Carla,Abila Zacharo,106.93,0,Unknown,Unknown
479940,Bergen_Linnea,Gelatogalore,12.74,6,Information Technology,IT Group Manager
479940,Lagos_Varja,Kalami Kafenion,70.1,23,Security,Badging Office
480000,Ribera_Anda,Hippokampos,34.03,0,Unknown,Unknown
480060,Alcazar_Lucas,Hippokampos,28.23,1,Information Technology,IT Helpdesk
480120,Borrasca_Isande,Ouzeri Elian,38.9,7,Engineering,Drill Technician
480180,Vann_Edvard,Hippokampos,13.26,34,Security,Perimeter Control
480240,Azada_Lars,Guy's Gyros,15.44,2,Engineering,Engineer
480420,Barranco_Ingrid,Abila Zacharo,30.08,4,Executive,SVP/CFO
480420,Herrero_Kanon,Abila Zacharo,50.14,22,Security,Badging Office
480480,Lagos_Linda,KaterinaÂs CafÃ©,33.54,0,Unknown,Unknown
480480,Mies Haber_Ruscella,Kalami Kafenion,8.64,0,Unknown,Unknown
480600,Flecha_Sven,Guy's Gyros,16.92,17,Information Technology,IT Technician
480900,Pantanal_Rachel,Hippokampos,36.54,0,Unknown,Unknown
480900,Vann_Isia,Abila Zacharo,92.05,16,Security,Perimeter Control
481020,Fusil_Stenig,Ouzeri Elian,20.56,20,Security,Building Control
