Timestamp,Name,Location,Price
458880,Vann_Edvard,Brew've Been Served,11.34
459240,Cocinaro_Hideki,Hallowed Grounds,52.22
459300,Fusil_Stenig,Brew've Been Served,8.33
459360,Frente_Birgitta,Hallowed Grounds,16.72
459420,Flecha_Sven,Brew've Been Served,4.24
459480,Lais_Cornelia,Brew've Been Served,4.17
459720,Bergen_Linnea,Coffee Cameleon,28.73
459780,Bramar_Mat,Brew've Been Served,9.6
459780,Tempestad_Brand,Brew've Been Served,16.9
460020,Arpa_Emile,Hallowed Grounds,16.53
460080,Orilla_Kare,Hallowed Grounds,10.66
460140,Ovan_Bertrand,Coffee Cameleon,8.39
460320,Osvaldo_Hennie,Brew've Been Served,32.83
460440,Calixto_Nils,Hallowed Grounds,16.88
460440,Nubarron_Adra,Coffee Cameleon,11.86
460440,Pantanal_Rachel,Hallowed Grounds,32.93
460500,Alcazar_Lucas,Hallowed Grounds,8.05
460500,Lagos_Varja,Brew've Been Served,3.67
460740,Ferro_Inga,Brew've Been Served,8.88
460800,Mies Haber_Ruscella,Brew've Been Served,4.27
460800,Ribera_Anda,Hallowed Grounds,9.69
460860,Dedos_Lidelse,Hallowed Grounds,10.07
461160,Bodrogi_Loreto,Brew've Been Served,18.24
461160,Mies_Minke,Brew've Been Served,15.58
461220,Resumir_Felix,Brew've Been Served,5.66
461640,Forluniau_Carla,Coffee Cameleon,3.2
461760,Herrero_Kanon,Brew've Been Served,14.97
461760,Lagos_Linda,Brew've Been Served,11.2
461820,Coginian_Dante,Brew've Been Served,15.39
462180,Hafon_Albina,Abila Airport,4540.08
464760,Hafon_Albina,Kronos Pipe and Irrigation,242.21
468120,Morluniau_Cecilia,Nationwide Refinery,761.64
469080,Hafon_Albina,Maximum Iron and Steel,2859.51
473580,Morluniau_Cecilia,Stewart and Sons Fabrication,2144.62
475020,Hafon_Albina,Carlyle Chemical Inc.,3959.66
475200,Awelon_Varro,Coffee Shack,51.51
475200,Azada_Lars,Bean There Done That,10.28
475200,Balas_Felix,Bean There Done That,16.09
475200,Barranco_Ingrid,Brewed Awakenings,5.72
475200,Baza_Isak,Jack's Magical Beans,11.03
475200,Borrasca_Isande,Brewed Awakenings,16.89
475200,Calzas_Axel,Bean There Done That,8.54
475200,Campo-Corrente_Ada,Brewed Awakenings,4.35
475200,Cazar_Gustav,Bean There Done That,5.24
475200,Frente_Vira,Bean There Done That,4.27
475200,Orilla_Elsa,Jack's Magical Beans,18.59
475200,Strum_Orhan,Jack's Magical Beans,27.84
475200,Vasco-Pais_Willem,Jack's Magical Beans,18.1
476160,Mies_Henk,Abila Airport,1873.79
478560,Campo-Corrente_Ada,Katerinas Café,13.68
478620,Strum_Orhan,Hippokampos,9.16
479880,Forluniau_Carla,Abila Zacharo,106.93
479940,Bergen_Linnea,Gelatogalore,12.74
479940,Lagos_Varja,Kalami Kafenion,70.1
480000,Ribera_Anda,Hippokampos,34.03
480060,Alcazar_Lucas,Hippokampos,28.23
480120,Borrasca_Isande,Ouzeri Elian,38.9
480180,Vann_Edvard,Hippokampos,13.26
480240,Azada_Lars,Guy's Gyros,15.44
480420,Barranco_Ingrid,Abila Zacharo,30.08
480420,Herrero_Kanon,Abila Zacharo,50.14
480480,Lagos_Linda,Katerinas Café,33.54
480480,Mies Haber_Ruscella,Kalami Kafenion,8.64
480600,Flecha_Sven,Guy's Gyros,16.92
480900,Pantanal_Rachel,Hippokampos,36.54
480900,Vann_Isia,Abila Zacharo,92.05
481020,Fusil_Stenig,Ouzeri Elian,20.56
481140,Onda_Marin,Guy's Gyros,11.22
481260,Calixto_Nils,Gelatogalore,22.64
481320,Frente_Vira,Ouzeri Elian,20.4
481560,Balas_Felix,Guy's Gyros,30.82
481560,Baza_Isak,Katerinas Café,18.56
481560,Vasco-Pais_Willem,Guy's Gyros,99.67
481620,Cazar_Gustav,Kalami Kafenion,22.13
481680,Lais_Cornelia,Ouzeri Elian,20.74
481680,Ovan_Bertrand,Ouzeri Elian,30.87
481800,Dedos_Lidelse,Katerinas Café,13.59
481800,Frente_Birgitta,Katerinas Café,32.64
481920,Mies_Minke,Kalami Kafenion,22.31
481920,Orilla_Kare,Gelatogalore,36.33
481980,Nubarron_Adra,Katerinas Café,36.95
482040,Osvaldo_Hennie,Abila Zacharo,23.15
482220,Calzas_Axel,Hippokampos,8.64
482280,Coginian_Dante,Hippokampos,38.25
482340,Bodrogi_Loreto,Katerinas Café,39.41
482400,Awelon_Varro,Kalami Kafenion,13.08
482400,Ferro_Inga,Gelatogalore,23.41
482640,Bramar_Mat,Hippokampos,30.88
482700,Cocinaro_Hideki,Abila Zacharo,78.11
483300,Arpa_Emile,Kalami Kafenion,27.4
483420,Resumir_Felix,Katerinas Café,19.65
486840,Hafon_Albina,Abila Airport,777.06
488340,Mies_Henk,Abila Airport,612.47
494880,Lagos_Varja,U-Pump,59.51
500160,Lagos_Linda,Katerinas Café,78.65
500880,Arpa_Emile,Katerinas Café,26.46
501480,Flecha_Sven,Guy's Gyros,39.29
503400,Orilla_Elsa,Frydos Autosupply n' More,273.87
504420,Bergen_Linnea,Katerinas Café,23.63
504480,Dedos_Lidelse,Katerinas Café,12.32
504540,Resumir_Felix,Guy's Gyros,11.94
504720,Coginian_Dante,Frydos Autosupply n' More,80.85
504780,Lagos_Varja,Guy's Gyros,22.57
504900,Fusil_Stenig,Guy's Gyros,117.82
504900,Lais_Cornelia,Frydos Autosupply n' More,175.87
505140,Forluniau_Carla,Katerinas Café,21.66
505200,Cazar_Gustav,Hippokampos,35.34
505440,Ferro_Inga,Guy's Gyros,28.94
505560,Alcazar_Lucas,Albert's Fine Clothing,276.9
505680,Cocinaro_Hideki,Guy's Gyros,95.29
505740,Frente_Vira,Hippokampos,85.5
505740,Osvaldo_Hennie,Katerinas Café,17.92
505800,Ribera_Anda,Katerinas Café,28.0
505980,Ovan_Bertrand,Katerinas Café,15.52
506160,Calzas_Axel,Hippokampos,26.8
506760,Awelon_Varro,Hippokampos,24.41
506760,Azada_Lars,Hippokampos,21.33
506820,Mies Haber_Ruscella,Frydos Autosupply n' More,149.3
506940,Vann_Isia,Shoppers' Delight,293.67
507120,Barranco_Ingrid,Hippokampos,17.27
507540,Orilla_Kare,Katerinas Café,26.1
507780,Frente_Birgitta,Katerinas Café,10.72
507780,Mies_Minke,Albert's Fine Clothing,121.76
508260,Strum_Orhan,Hippokampos,28.14
508320,Bramar_Mat,Katerinas Café,26.51
508980,Nubarron_Adra,Frydos Autosupply n' More,197.32
509520,Onda_Marin,Frydos Autosupply n' More,314.98
510720,Campo-Corrente_Ada,Hippokampos,20.61
545220,Flecha_Sven,Brew've Been Served,5.08
545460,Lais_Cornelia,Brew've Been Served,12.74
545580,Vann_Edvard,Brew've Been Served,7.09
545700,Calixto_Nils,Hallowed Grounds,14.05
545820,Arpa_Emile,Hallowed Grounds,8.91
546060,Dedos_Lidelse,Hallowed Grounds,19.59
546300,Fusil_Stenig,Brew've Been Served,19.6
